82-8772,pzSMNq,NfdxAL,1992-09-28,4.32
81-8976,hWknCP,EGpfuC,1990-03-13,3.19
59-8196,wYRCIH,ExpTgL,1994-01-05,0.85
67-5025,gTFAWy,OUxVcq,1996-01-10,1.71
66-1766,DVLYsf,VVpwIL,1999-02-28,2.70
50-7952,ZiDDlx,SLOOaW,1998-02-20,3.12
52-2476,YQigxr,mIBWZv,2000-01-31,3.63
69-2059,bRaZAu,TFXbkG,1991-10-02,1.82
50-7388,BlhkBD,DSNCPU,1994-07-28,4.54
90-1466,jSpBEx,UDComX,1995-04-09,1.28
97-2777,hviopY,URtrGA,2000-10-16,3.15
82-0965,QYWOOo,wsoTTr,2000-10-16,1.82
98-7361,uYJHtn,QKTmqF,2000-10-16,1.83
48-0835,GGHHLJ,OgEoro,1994-04-22,3.20
94-3987,OOcrJi,lJbQKS,1991-01-17,3.91
47-2285,Fiepto,ffcOqV,2000-02-12,3.42
73-3694,OUojwy,fYGzth,1990-06-22,4.89
53-0662,ENggNR,ZmNsqc,1999-01-30,4.97
89-8284,LODjTw,IjrelG,1997-05-25,1.53
70-7905,cZZoDG,IrHxvj,1998-02-06,3.58
47-7573,kqQULY,PzywFb,1997-03-09,4.05
81-0048,ISJAnb,VZWjhA,1992-10-23,1.00
62-0353,oxfxps,rUTiEQ,1999-03-02,1.52
73-3452,ovwMto,EPvqcb,1993-11-21,1.23
66-5186,ZkDeKY,tAwiSL,1992-08-08,4.18
54-9948,MgkrLI,VAzZuW,2000-09-19,4.69
83-6471,YVXMCA,TOeCwZ,2000-01-05,3.88
69-5929,wiwUsA,HrqYtJ,1991-11-26,3.33
85-5509,mRvVNd,MsXAfA,1991-10-15,4.52
43-3542,opWXmZ,UZiknJ,1997-01-13,4.34
46-7036,RaaRTO,YWcNlh,1993-02-26,3.50
75-8415,SGaFVM,xzFyyf,1991-11-04,2.56
86-7871,XfrcUJ,EUEfmX,1995-10-26,1.54
64-7620,NYLzcs,wQsVSa,1995-06-27,4.36
76-1418,QMQxOJ,gTTuDu,1993-09-20,2.62
87-4204,MYFUeu,uOxLzU,1990-01-18,3.17
59-1506,sSAbYy,wPcOXK,1995-03-15,0.84
90-2599,MyHoWC,Fqhenj,1990-09-17,3.43
69-7003,UhdBfG,lJuqON,1992-11-31,3.80
46-7593,fJxnts,TTQQqy,1995-10-29,3.00
68-7683,FKdvDf,ETOwTi,1990-05-16,2.35
68-2851,XXnjxE,rGUlHe,2000-05-23,3.72
73-2001,AzbgUy,IMVqKr,1992-06-29,1.33
53-7985,MMIEhY,IurBYn,1997-02-18,1.18
90-9422,Cfnrdy,wnsoBm,1996-01-15,2.91
58-7382,NEFybQ,UFoMKN,2000-05-25,4.38
57-2134,FVgEfM,PiXyvC,1994-07-06,1.22
61-6247,MPuxlN,nhnonI,1994-03-14,4.60
77-1689,FGaGBk,RhNIjg,1995-05-11,4.28
99-1466,zIaKVT,dXPhXe,1999-02-13,3.78
